temp,feelslike,dew,humidity,precip,precipprob,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk
13.5,13.5,4,52.61,0,0,0,0,26.6,13,75,1031,100,10,0,0,0,10
13,13,1.5,45.53,0,0,0,0,29.5,16.6,80,1031,100,10,0,0,0,10
13.7,13.7,1.2,42.6,0,0,0,0,37.1,9.5,1,1031,90.2,10.2,0,0,0,10
12.5,12.5,1.5,47.05,0,0,0,0,40.7,15.7,65,1031,100,10,0,0,0,10
12,12,0,43.64,0,0,0,0,42.1,17.5,55,1031,100,10,0,0,0,10
12.1,12.1,0.9,46.43,0,0,0,0,41.8,9.8,350,1030.7,100,10,0,0,0,10
11,11,1,50.11,0,0,0,0,43.6,12.1,40,1031,99.5,10,0,0,0,10
11,11,1.5,51.95,0,0,0,0,43.6,8.5,45,1032,88.6,10,0,0,0,10
11.5,11.5,-0.2,44.31,0,0,0,0,42.1,10.5,356,1032.4,99.5,10.2,6,0,0,10
11,11,0,46.62,0,0,0,0,41,11.2,70,1033,91.6,10,87,0.3,1,10
12,12,0.5,45.25,0,0,0,0,35.3,11.2,75,1034,60,10,214,0.8,2,10
13.8,13.8,-1.1,36,0,0,0,0,31,6.7,56,1033.8,30,10.2,481,1.7,5,10
15,15,0,35.88,0,0,0,0,27.4,11.2,70,1033,4.8,10,686,2.5,7,10
15,15,-0.5,34.61,0,0,0,0,24.5,7.6,10,1030.5,33.6,10,751,2.7,8,10
16,16,-2,29.12,0,0,0,0,24.1,9,37,1029.7,30,10.4,745,2.7,7,10
